name,address,phone
Shiva electrical and power tools,"
Shop no. 11 ward, no. 11, big ground, Indra Nagar, Ward Number 21, Mandideep, Bhopal, Madhya Pradesh 462046",
Bharat Power Hub,"
shop no 4, mangal market, Gali no 1, Sector A, Ward Number 21, Mandideep, Bhopal, Madhya Pradesh 462046","
078692 13951"
Laxmi Electricals,"
Station Rd, near Shakti Mandir, Mahaveer Nagar, Mandideep, Bhopal, Madhya Pradesh 462046","
081099 10496"
Paras Electrical Works,"
Plot No. 75, A - Sector, Industrial Area, Mandideep, Bhopal, Madhya Pradesh 462046","
078798 03661"
OM SAI ELECTRICAL & HARDWERE,"
Shop No-3, Dada Bhai Complex, Satlapur Chouraha, near Deepak Mart, New Satlapur, Mandideep, Satlapur, Bhopal, Madhya Pradesh 462046","
073892 18608"
Maheshwari electrical,"
Shaniwar market, Vidya Nagar, Mandideep, Bhopal, Madhya Pradesh 462046",
Sameer electricals,"
behind hotel bhoj, Vidya Nagar, Mandideep, Bhopal, Madhya Pradesh 462046","
099269 65463"
OLA ELECTRIC,"
Plot no. 52, Sector A, Industrial Area, Mandideep, Bhopal, Madhya Pradesh 462046","
088719 30774"
Raj Transformer & Electrical Equipment,"
49ASector-B, Mandideep, Bhopal, Madhya Pradesh 462046",
LJ Electronics And Electrical,"
Sheetal city, Front Of Nakshatra Garden, 2, Mandideep, Raisen, Madhya Pradesh 462046","
098270 96254"
Devika Electrical,"
Patel Nagar, Industrial Area, Mandideep, Bhopal, Madhya Pradesh 462046","
098263 98397"
Swaran Hardware And Electrical,"
3GW8+HW7, Sector B, Ward Number 11, Mandideep, Bhopal, Madhya Pradesh 462046","
079999 79512"
TRIPTI ELECTRICAL AND HARDWARE,"
Phase 3, Samardha MIG 77, Narmadapuram Rd, near water tank, Indus Towne, Srikrishnapuram, Bhopal, Madhya Pradesh 462046","
099817 80186"
Karan electricals,"
Vivek jagriti school road, behind Ganesh chowk, Vidya Nagar, Mandideep, Bhopal, Madhya Pradesh 462046",
